# Profile likelihood (all_z)
# epsilon  delta_chi2
0.000000 0.000000
0.100000 5.299839
0.200000 11.019664
0.300000 17.159453
0.400000 23.719187
0.500000 30.698844
0.600000 38.098402
0.700000 45.917837
0.800000 54.157125
0.900000 62.816241
1.000000 71.895159
1.100000 81.393851
1.200000 91.312289
1.300000 101.650445
1.400000 112.408288
1.500000 123.585787
1.600000 135.182912
1.700000 147.199628
1.800000 159.635902
1.900000 172.491700
2.000000 185.766986
