parameter,cos_ratio,cos_weighted,pearson,sn_proj,fd_mode,delta_p
herei,-0.6237259253687778,-0.4859877388277141,-0.5351568669310646,-28.597781462618933,central,0.005999999999999997
ns,-0.5962728099222548,-0.43774485957685433,-0.45165866918449027,-347.8436318325326,central,0.0025
dtau0,-0.36859683868503723,-0.4361198658374996,-0.06935993773700846,-103.11833216465182,central,0.006500000000000001
heref,-0.3601689618946619,-0.25453660929694216,-0.2817991719451825,-11.17962734096525,central,0.006000000000000001
Ap,-0.43455239650680405,0.23166993070234554,0.4132092887778543,85190855344.83026,central,1.4000000000000002e-11
bhfeedback,0.21108316030241428,0.19246035017445146,-0.024154323474654734,54.09027778628,central,0.0004000000000000001
alphaq,0.3893173767981564,-0.18655729118625378,-0.09270565981719216,-10.07154109932758,central,0.017
omegamh2,-0.43768891006600474,0.1858660563639587,0.4079219455628241,1938.399017387608,central,5.999999999999978e-05
hub,0.24137797122256155,-0.16131048909241202,-0.04036685020414307,-105.48638924803083,central,0.0009999999999999998
hireionz,0.2943658613244661,0.0804843318086627,-0.17018771638128674,1.8752994115484556,central,0.015
tau0,-0.5372418053498601,0.07095582626580364,0.17695313779866154,140.59817675389917,central,0.005
