# Profile likelihood (all_zbins)
# epsilon  delta_chi2
0.000000 0.000000
0.100000 2.943831
0.200000 6.283671
0.300000 10.019559
0.400000 14.151532
0.500000 18.679625
0.600000 23.603872
0.700000 28.924307
0.800000 34.640960
0.900000 40.753861
1.000000 47.263039
1.100000 54.168522
1.200000 61.470334
1.300000 69.168500
1.400000 77.263043
1.500000 85.753984
1.600000 94.641343
1.700000 103.925139
1.800000 113.605388
1.900000 123.682108
2.000000 134.155310
