# Profile likelihood (no_z2p2_no_z2p4)
# epsilon  delta_chi2
0.000000 0.000000
0.100000 2.945300
0.200000 6.220056
0.300000 9.824338
0.400000 13.758212
0.500000 18.021745
0.600000 22.615003
0.700000 27.538050
0.800000 32.790952
0.900000 38.373770
1.000000 44.286569
1.100000 50.529409
1.200000 57.102351
1.300000 64.005456
1.400000 71.238782
1.500000 78.802388
1.600000 86.696332
1.700000 94.920670
1.800000 103.475458
1.900000 112.360751
2.000000 121.576603
