# epsilon  delta_chi2
0.000000 0.000000
0.100000 3.844523
0.200000 8.035538
0.300000 12.573044
0.400000 17.457038
0.500000 22.687517
0.600000 28.264479
0.700000 34.187921
0.800000 40.457840
0.900000 47.074234
1.000000 54.037099
1.100000 61.346432
1.200000 69.002231
1.300000 77.004491
1.400000 85.353209
1.500000 94.048381
1.600000 103.090004
1.700000 112.478075
1.800000 122.212588
1.900000 132.293541
2.000000 142.720928
