# Profile likelihood (no_z2p2)
# epsilon  delta_chi2
0.000000 0.000000
0.100000 3.860413
0.200000 8.101807
0.300000 12.724235
0.400000 17.727748
0.500000 23.112396
0.600000 28.878230
0.700000 35.025297
0.800000 41.553646
0.900000 48.463324
1.000000 55.754376
1.100000 63.426848
1.200000 71.480784
1.300000 79.916227
1.400000 88.733219
1.500000 97.931802
1.600000 107.512016
1.700000 117.473901
1.800000 127.817496
1.900000 138.542837
2.000000 149.649963
